Day,Date,Post Time (IST),Format,Product,Category,Short Description,Quote CTA,Image Count
1,2026-08-19,11:30 AM IST,Single image,"Laptop Bag 001","Laptop Bags","Laptop Bag in Genuine Leather",https://amittradersindia.com/quote?product=laptop-bag-at-001,1
2,2026-08-20,11:30 AM IST,Single image,"Laptop Bag 002","Laptop Bags","Laptop Bag in Genuine Leather",https://amittradersindia.com/quote?product=laptop-bag-002,1
3,2026-08-21,11:30 AM IST,Single image,"Laptop Bag 003","Laptop Bags","Laptop Bag in Genuine Leather",https://amittradersindia.com/quote?product=laptop-bag-003,1
4,2026-08-22,07:30 PM IST,Single image,"Laptop Bag 004","Laptop Bags","Laptop Bag in Genuine Leather",https://amittradersindia.com/quote?product=laptop-bag-004,1
5,2026-08-23,07:30 PM IST,Carousel (2 slides),"Laptop Bag 005","Laptop Bags","Laptop Bag in Genuine Leather",https://amittradersindia.com/quote?product=laptop-bag-005,2
6,2026-08-24,11:30 AM IST,Carousel (3 slides),"Laptop Bag 006","Laptop Bags","Laptop Bag in Genuine Leather with Shoulder belt",https://amittradersindia.com/quote?product=laptop-bag-006,3
7,2026-08-25,11:30 AM IST,Carousel (3 slides),"Laptop Bag 007","Laptop Bags","Laptop Bag in Genuine Leather with Shoulder belt",https://amittradersindia.com/quote?product=laptop-bag-007,3
8,2026-08-26,11:30 AM IST,Carousel (3 slides),"Laptop Bag 008","Laptop Bags","Laptop Bag in Genuine Leather with Shoulder Belt",https://amittradersindia.com/quote?product=laptop-bag-008,3
9,2026-08-27,11:30 AM IST,Carousel (3 slides),"Laptop Bag 009","Laptop Bags","Laptop Bag in Genuine Leather with Shoulder belt",https://amittradersindia.com/quote?product=laptop-bag-009,3
10,2026-08-28,11:30 AM IST,Single image,"Gents Wallet 001","Gents Wallet","Gents wallet for regular use",https://amittradersindia.com/quote?product=gents-wallet-001,1
11,2026-08-29,07:30 PM IST,Single image,"Combo Set 001","Combo Set","Combo Set of
Gents Wallet,
Passport Holder,
Belt",https://amittradersindia.com/quote?product=combo-set-001,1
12,2026-08-30,07:30 PM IST,Single image,"Combo Set 002","Combo Set","Combo Set of
Gents Wallet,
Keychain
Belt",https://amittradersindia.com/quote?product=combo-set-002,1
13,2026-08-31,11:30 AM IST,Single image,"Combo Set 003","Combo Set","Combo Set of
Gents Wallet,
Keychain",https://amittradersindia.com/quote?product=combo-set-003,1
14,2026-09-01,11:30 AM IST,Single image,"Duffle Bag 001","Duffle Bags","Duffle Bag in Genuine Leather",https://amittradersindia.com/quote?product=duffle-bag-001,1
15,2026-09-02,11:30 AM IST,Single image,"Passport Holder 001","Passport Holders","Passport Holder in Genuine Leather",https://amittradersindia.com/quote?product=passport-holder-001,1
16,2026-09-03,11:30 AM IST,Single image,"Sling Bag 001","Sling Bags","Sling Bags for regular office/personal use",https://amittradersindia.com/quote?product=sling-bag-001,1
17,2026-09-04,11:30 AM IST,Single image,"Sling Bag 002","Sling Bags","Sling Laptop bag for corporate use",https://amittradersindia.com/quote?product=sling-bag-002,1
